UNITID,XSANIN01,SANIN01,XSANIT01,SANIT01,XSANIN02,SANIN02,XSANIT02,SANIT02,XSANIN03,SANIN03,XSANIT03,SANIT03,XSANIN04,SANIN04,XSANIT04,SANIT04,XSANIN05,SANIN05,XSANIT05,SANIT05,XSANIN06,SANIN06,XSANIT06,SANIT06,XSANIN07,SANIN07,XSANIT07,SANIT07,XSANIN08,SANIN08,XSANIT08,SANIT08,XSANIN09,SANIN09,XSANIT09,SANIT09,XSANIN10,SANIN10,XSANIT10,SANIT10,XSANIN11,SANIN11,XSANIT11,SANIT11,XSANIN12,SANIN12,XSANIT12,SANIT12,XSANIN13,SANIN13,XSANIT13,SANIT13,XSANIN14,SANIN14,XSANIT14,SANIT14 
193830,"R",195,"R",13170746,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",41,"R",4050185,"R",53,"R",4359601,"R",3,"R",286000,"Z",0,"Z",0,"R",10,"R",942000,"R",24,"R",991200,"Z",0,"Z",0,"R",64,"R",2541760,"Z",0,"Z",0,"Z",0,"Z",0
193894,"R",22,"R",1192041,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",75954,"R",1,"R",91800,"R",4,"R",275025,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",16,"R",749262,"Z",0,"Z",0,"Z",0,"Z",0
193900,"R",6872,"R",564895226,"Z",0,"Z",0,"Z",0,"Z",0,"R",1038,"R",70077676,"R",768,"R",131110284,"R",789,"R",64560564,"R",1473,"R",119524702,"R",827,"R",58665742,"R",152,"R",12280567,"R",410,"R",22879701,"R",15,"R",900912,"R",1183,"R",66994567,"R",197,"R",16393665,"R",20,"R",1506846
193946,"R",203,"R",9676838,"Z",0,"Z",0,"Z",0,"Z",0,"R",50,"R",2318560,"R",24,"R",1858139,"R",8,"R",473912,"R",5,"R",324438,"R",3,"R",110998,"Z",0,"Z",0,"R",41,"R",1652409,"Z",0,"Z",0,"R",72,"R",2938382,"Z",0,"Z",0,"Z",0,"Z",0
193973,"R",363,"R",17268112,"Z",0,"Z",0,"Z",0,"Z",0,"R",15,"R",629042,"R",116,"R",8190544,"R",33,"R",1473016,"R",21,"R",980868,"R",59,"R",2307206,"R",7,"R",304794,"R",18,"R",548569,"Z",0,"Z",0,"R",76,"R",2045776,"R",16,"R",650087,"R",2,"R",138210
194028,"R",50,"R",2486359,"Z",0,"Z",0,"Z",0,"Z",0,"R",11,"R",597299,"R",8,"R",549260,"R",3,"R",257676,"R",2,"R",134192,"R",1,"R",50000,"Z",0,"Z",0,"R",6,"R",151733,"Z",0,"Z",0,"R",14,"R",577168,"R",5,"R",169031,"Z",0,"Z",0
194073,"R",63,"R",3170598,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",154133,"R",21,"R",1380032,"R",6,"R",264500,"R",6,"R",298837,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",19,"R",819344,"R",7,"R",253752,"Z",0,"Z",0
194091,"R",596,"R",42431797,"Z",0,"Z",0,"Z",0,"Z",0,"R",33,"R",1936897,"R",226,"R",21362789,"R",52,"R",2801748,"R",51,"R",3985255,"R",33,"R",2431612,"R",3,"R",134693,"R",82,"R",3829632,"Z",0,"Z",0,"R",91,"R",3875815,"R",23,"R",1928888,"R",2,"R",144468
194116,"R",51,"R",3610321,"Z",0,"Z",0,"Z",0,"Z",0,"R",5,"R",262158,"R",17,"R",1929608,"R",3,"R",173832,"R",6,"R",294786,"R",4,"R",207918,"Z",0,"Z",0,"R",4,"R",156641,"Z",0,"Z",0,"R",12,"R",585378,"Z",0,"Z",0,"Z",0,"Z",0
194161,"R",120,"R",5979877,"Z",0,"Z",0,"Z",0,"Z",0,"R",28,"R",1153273,"R",19,"R",1725964,"R",2,"R",109200,"R",6,"R",341286,"R",33,"R",1439489,"R",2,"R",81000,"R",3,"R",101300,"Z",0,"Z",0,"R",27,"R",1028365,"Z",0,"Z",0,"Z",0,"Z",0
194189,"R",9,"R",408876,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",97160,"R",1,"R",87676,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",5,"R",198375,"Z",0,"Z",0,"R",1,"R",25665,"Z",0,"Z",0,"Z",0,"Z",0
194222,"R",439,"R",23021574,"Z",0,"Z",0,"Z",0,"Z",0,"R",79,"R",3913011,"R",66,"R",5598414,"R",46,"R",2499840,"R",22,"R",1348732,"R",57,"R",2891858,"Z",0,"Z",0,"R",78,"R",3057528,"Z",0,"Z",0,"R",86,"R",3482287,"R",5,"R",229904,"Z",0,"Z",0
194240,"R",272,"R",15194969,"Z",0,"Z",0,"Z",0,"Z",0,"R",29,"R",1589972,"R",33,"R",3006465,"R",32,"R",1890056,"R",23,"R",1441280,"R",35,"R",1682358,"R",1,"R",62649,"R",32,"R",1328305,"Z",0,"Z",0,"R",74,"R",3488401,"R",13,"R",705483,"Z",0,"Z",0
194310,"R",1091,"R",72927976,"Z",0,"Z",0,"Z",0,"Z",0,"R",44,"R",1470061,"R",405,"R",39244375,"R",135,"R",7799880,"R",99,"R",6027718,"R",108,"R",5706223,"R",4,"R",218170,"R",12,"R",536233,"Z",0,"Z",0,"R",262,"R",10905469,"R",11,"R",520371,"R",11,"R",499476
194392,"R",91,"R",4961621,"R",4,"R",159723,"R",6,"R",233280,"R",23,"R",911853,"R",19,"R",1972904,"R",6,"R",363736,"R",6,"R",289650,"R",4,"R",185601,"Z",0,"Z",0,"R",6,"R",174449,"R",1,"R",32656,"R",15,"R",572224,"R",1,"R",65545,"Z",0,"Z",0
194499,"R",48,"R",4177012,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",118718,"R",3,"R",1107920,"Z",0,"Z",0,"R",2,"R",141500,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",38,"R",2729991,"R",2,"R",78883,"Z",0,"Z",0
194569,"R",17,"R",683950,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",40000,"R",6,"R",301850,"R",1,"R",53000,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",80000,"Z",0,"Z",0,"R",4,"R",115500,"R",3,"R",93600,"Z",0,"Z",0
194578,"R",581,"R",41382754,"Z",0,"Z",0,"Z",0,"Z",0,"R",27,"R",1315472,"R",132,"R",15017953,"R",39,"R",2717646,"R",31,"R",2014529,"R",87,"R",5459845,"R",8,"R",669002,"R",126,"R",6939793,"R",2,"R",97569,"R",129,"R",7150945,"Z",0,"Z",0,"Z",0,"Z",0
